Rank,Name,Country,Age,NetWorth,Source of Wealth
51,Michael Otto,Germany,72,15.4,"Retail, Real Estate"
53,Len Blavatnik,United States,58,15.3,Diversified
54,Donald Bren,United States,83,15.1,Real Estate
55,Azim Premji,India,70,15,Software Services
56,Serge Dassault,France,90,14.7,Aviation
57,Tadashi Yanai,Japan,67,14.6,Retail
58,Cheng Yu-tung,Hong Kong,90,14.5,Diversified
58,Hinduja family,United Kingdom,n/a,14.5,Hinduja Group
60,Leonid Mikhelson,Russia,60,14.4,"Gas, Chemicals"
60,David & Simon Reuben,United Kingdom,73,14.4,"Investments, Real Estate"
62,Stefano Pessina,Italy,74,13.4,Drugstores
63,Mikhail Fridman,Russia,51,13.3,"Oil, Banking, Telecom"
64,Dietrich Mateschitz,Austria,71,13.2,Red Bull
65,Abigail Johnson,United States,54,13.1,Money Management
65,Kjeld Kirk Kristiansen,Denmark,68,13.1,Lego
65,Joseph Lau,Hong Kong,64,13.1,Real Estate
68,Gerald Cavendish Grosvenor,United Kingdom,64,13,Real Estate
68,Thomas & Raymond Kwok,Hong Kong,n/a,13,Real Estate
68,Marcel Herrmann Telles,Brazil,66,13,Beer
71,Henry Sy,Philippines,91,12.9,SM Investments Corporation
72,Steve Cohen,United States,60,12.7,Hedge Funds
73,Pallonji Mistry,Ireland,86,12.5,Construction
73,Hans Rausing,Sweden,89,12.5,Packaging
73,Alisher Usmanov,Russia,62,12.5,"Steel, Telecom, Investments"
76,Charlene de Carvalho-Heineken,Netherlands,61,12.3,Heineken
77,Charles Ergen,United States,63,12.2,Satellite TV
78,Ronald Perelman,United States,73,12.1,Leveraged Buyouts
78,Vladimir Potanin,Russia,55,12.1,Metals
80,Stephen Ross,United States,75,12,Real Estate
81,Patrick Soon-Shiong,United States,64,11.9,Pharmaceuticals
82,Masayoshi Son,Japan,58,11.7,"Internet, Telecom"
82,Heinz Hermann Thiele,Germany,74,11.7,Brakes
84,Francois Pinault,France,79,11.5,Retail
85,David Tepper,United States,58,11.4,Hedge Funds
85,Gennady Timchenko,Russia,63,11.4,Oil & Gas
87,Carlos Alberto Sicupira,Brazil,68,11.3,Beer
88,Shiv Nadar,India,70,11.1,Software Services
88,Thomas Peterffy,United States,71,11.1,Discount Brokerage
90,Robin Li,China,47,11,Internet Search
90,Alain Wertheimer,France,67,11,Chanel
90,Gerard Wertheimer,France,65,11,Chanel
93,Alexey Mordashov,Russia,50,10.9,"Steel, Investments"
94,Elon Musk,United States,44,10.7,Tesla Motors
94,Charoen Sirivadhanabhakdi,Thailand,71,10.7,Beverages
96,Petr Kellner,Czechia,51,10.6,"Banking, Insurance"
96,Rupert Murdoch,United States,84,10.6,Media
98,Viktor Vekselberg,Russia,58,10.5,"Metals, Energy"
99,Lukas Walton,United States,29,10.4,Wal-Mart
100,Eric Schmidt,United States,60,10.2,Google
101,Iris Fontbona,Chile,73,10.1,Mining
101,Massimiliana Landini Aleotti,Italy,73,10.1,Pharmaceuticals
103,Mike Adenuga,Nigeria,62,10,"Telecom, Oil"
103,Klaus-Michael Kuehne,Germany,78,10,Shipping
103,Robert Kuok,Malaysia,92,10,"Palm Oil, Shipping, Real Estate"
103,"Samuel Newhouse, Jr.",United States,88,10,Media
107,Lei Jun,China,46,9.8,Smartphones
108,Philip Anschutz,United States,76,9.7,Investments
108,Jim Kennedy,United States,68,9.7,Media
108,Blair Parry-Okeden,United States,65,9.7,Media
108,John Paulson,United States,60,9.7,Hedge Funds
112,Lee Kun-Hee,South Korea,74,9.6,Samsung
113,Hasso Plattner,Germany,72,9.5,Software
113,Stephen Schwarzman,United States,69,9.5,Investments
115,Andrew Beal,United States,63,9.4,"Banks, Real Estate"
116,Vladimir Lisin,Russia,59,9.3,"Steel, Transport"
116,"John Menard, Jr.",United States,76,9.3,Retail
116,Donald Newhouse,United States,86,9.3,Media
116,Udo & Harald Tschira,Germany,n/a,9.3,Software
116,Galen Weston,Canada,75,9.3,Retail
121,German Larrea Mota Velasco,Mexico,62,9.2,Mining
122,He Xiangjian,China,73,9,Home Appliances
122,Leonard Lauder,United States,82,9,Estée Lauder
124,Vagit Alekperov,Russia,65,8.9,Oil
124,Dustin Moskovitz,United States,31,8.9,Facebook
124,Luis Carlos Sarmiento,Colombia,83,8.9,Banking
127,Gina Rinehart,Australia,62,8.8,Mining
128,German Khan,Russia,54,8.7,"Oil, Banking, Telecom"
129,Ernesto Bertarelli,Switzerland,50,8.6,"Biotech, Investments"
129,Hui Ka Yan,China,57,8.6,Real Estate
129,Jan Koum,United States,40,8.6,Whatsapp
129,Xavier Niel,France,48,8.6,"Internet, Telecom"
133,John Fredriksen,Cyprus,71,8.5,Shipping
133,Cyrus Poonawalla,India,74,8.5,Vaccines
135,Gianluigi & Rafaela Aponte,Switzerland,n/a,8.4,Shipping
135,Lakshmi Mittal,India,65,8.4,Steel
135,Eyal Ofer,Israel,65,8.4,"Real Estate, Shipping"
138,Mohammed Al Amoudi,Saudi Arabia,69,8.3,"Oil, Diversified"
139,Hank & Doug Meijer,United States,n/a,8.2,Supermarkets
139,Andrey Melnichenko,Russia,43,8.2,"Coal, Fertilizers"
141,William Ding,China,44,8.1,Online Games
141,R. Budi Hartono,Indonesia,75,8.1,"Banking, Tobacco"
141,Reinhold Wuerth,Germany,80,8.1,Fasteners
144,James Goodnight,United States,73,8,Software
144,Johann Graf,Austria,69,8,Gambling
146,Michael Hartono,Indonesia,76,7.9,"Tobacco, Banking"
146,Dietmar Hopp,Germany,75,7.9,Software
148,Stanley Kroenke,United States,68,7.7,"Sports, Real Estate"
148,Dmitry Rybolovlev,Russia,49,7.7,Fertilizer
148,Suh Kyung-Bae,South Korea,53,7.7,Cosmetics
151,Roman Abramovich,Russia,49,7.6,"Steel, Investments"
151,Emmanuel Besnier,France,45,7.6,Cheese
151,Lui Che Woo,Hong Kong,86,7.6,Casinos
151,Robert & Philip Ng,Singapore,n/a,7.6,Real Estate
151,Mikhail Prokhorov,Russia,50,7.6,Investments
151,August von Finck,Germany,85,7.6,Investments
157,Ken Griffin,United States,47,7.5,Hedge Funds
158,Ananda Krishnan,Malaysia,77,7.4,Telecom
159,Eli Broad,United States,82,7.3,Investments
159,"Thomas Frist, Jr.",United States,77,7.3,Health Care
159,"Herbert Kohler, Jr.",United States,77,7.3,Plumbing Fixtures
159,Harry Triguboff,Australia,82,7.3,Property
163,"Edward Johnson, III.",United States,85,7.2,Money Management
163,Pierre Omidyar,United States,48,7.2,Ebay
163,Takemitsu Takizaki,Japan,70,7.2,Sensors
163,Wang Wenyin,China,48,7.2,"Mining, Copper Products"
167,Micky Arison,United States,66,7.1,Carnival Cruises
167,George Kaiser,United States,73,7.1,"Oil & Gas, Banking"
167,Les Wexner,United States,78,7.1,Retail
170,Alberto Bailleres Gonzalez,Mexico,84,6.9,Mining
171,Dhanin Chearavanont,Thailand,76,6.8,Diversified
171,Margarita Louis-Dreyfus,Switzerland,53,6.8,Commodities
173,Alexei Kuzmichev,Russia,53,6.7,"Oil, Banking, Telecom"
174,Nicky Oppenheimer,South Africa,70,6.6,Diamonds
174,Peter Woo,Hong Kong,69,6.6,Real Estate
176,Jean-Claude Decaux,France,78,6.5,Advertising
176,David Geffen,United States,73,6.5,Entertainment
178,James Chambers,United States,58,6.4,Media
178,Walter Droege,Germany,63,6.4,Consulting
178,Graeme Hart,New Zealand,60,6.4,Investments
178,Sandra Ortega Mera,Spain,47,6.4,Zara
178,Katharine Rayner,United States,71,6.4,Media
178,Margaretta Taylor,United States,73,6.4,Media
184,John Grayken,Ireland,59,6.3,Private Equity
184,Uday Kotak,India,56,6.3,Banking
184,Liu Qiangdong,China,41,6.3,E-Commerce
184,John Malone,United States,74,6.3,Cable Television
188,Silvio Berlusconi,Italy,79,6.2,Media
188,Garrett Camp,Canada,37,6.2,Uber Technologies
188,Curt Engelhorn,Germany,89,6.2,Pharmaceuticals
188,Travis Kalanick,United States,39,6.2,Uber Technologies
188,Walter Kwok,Hong Kong,65,6.2,Real Estate
188,Eduardo Saverin,Brazil,33,6.2,Facebook
188,Xu Shihui,China,58,6.2,"Snacks, Beverages"
188,Zong Qinghou,China,70,6.2,Beverages
196,Giorgio Armani,Italy,81,6.1,Armani
196,Kumar Birla,India,48,6.1,Commodities
196,Eva Gonda de Rivera,Mexico,n/a,6.1,Beverages
196,Wolfgang Marguerre,Germany,75,6.1,Pharmaceuticals
196,Hansjoerg Wyss,Switzerland,81,6.1,Medical Devices
201,Jay Y. Lee,South Korea,47,6,Samsung
201,Gordon Moore,United States,87,6,Intel
201,Frederik Paulsen,Sweden,65,6,Health Care
201,Tsai Eng-Meng,Taiwan,59,6,"Food, Beverages"
205,Patrick Drahi,France,52,5.9,Telecom
205,Philip & Cristina Green,United Kingdom,63,5.9,Retail
205,Mikhail Gutseriev,Russia,57,5.9,"Oil, Real Estate"
205,Shahid Khan,United States,65,5.9,Auto Parts
205,Richard LeFrak,United States,70,5.9,Real Estate
205,Tom & Judy Love,United States,78,5.9,Retail & Gas Stations
205,Pan Sutong,Hong Kong,52,5.9,"Real Estate, Finance"
205,Zhang Zhidong,China,44,5.9,Internet Media
205,Zhou Qunfei,Hong Kong,46,5.9,Smartphone Glass Covers
214,Michael Kadoorie,Hong Kong,74,5.8,"Hotels, Energy"
214,Jorn Rausing,Sweden,56,5.8,Packaging
214,John A. Sobrato,United States,76,5.8,Real Estate
214,Dennis Washington,United States,81,5.8,"Construction, Mining"
214,Christoffel Wiese,South Africa,74,5.8,Retailing
219,Francis Choi,Hong Kong,68,5.7,Real Estate
219,Sergei Galitsky,Russia,48,5.7,Retail
219,Antonia Johnson,Sweden,72,5.7,Diversified
219,Pauline MacMillan Keinath,United States,82,5.7,Cargill
219,Lu Guanqiu,China,71,5.7,Conglomerate
219,Sunil Mittal,India,58,5.7,Telecom
219,Denis O'Brien,Ireland,57,5.7,Telecom
219,Augusto & Giorgio Perfetti,Italy,n/a,5.7,Candy
219,Melker Schorling,Sweden,68,5.7,Investments
228,Heinrich Deichmann,Germany,53,5.6,Footwear
228,Terry Gou,Taiwan,65,5.6,Electronics
228,David Green,United States,74,5.6,Retail
228,Hiroshi Mikitani,Japan,51,5.6,Online Retail
228,Stef Wertheimer,Israel,89,5.6,Metalworking Tools
233,Maria Asuncion Aramburuzabala,Mexico,52,5.5,"Beer, Investments"
233,Desh Bandhu Gupta,India,78,5.5,Pharmaceuticals
233,Ralph Lauren,United States,76,5.5,Ralph Lauren
233,Ted Lerner,United States,90,5.5,Real Estate
233,James Ratcliffe,United Kingdom,63,5.5,Chemicals
233,Finn Rausing,Sweden,61,5.5,Packaging
233,Kirsten Rausing,Sweden,63,5.5,Packaging
240,Bruce Halle,United States,85,5.4,Tires
240,James Irving,Canada,87,5.4,Diversified
240,Jason Jiang,China,43,5.4,Advertising
240,Richard Kinder,United States,71,5.4,Pipelines
240,Juan Roig,Spain,66,5.4,Supermarkets
240,Charles Schwab,United States,78,5.4,Discount Brokerage
240,Aloys Wobben,Germany,64,5.4,Wind Turbines
240,Xu Chuanhua,China,81,5.4,Chemicals
248,Vincent Bollore,France,63,5.3,Investments
248,Guenther Fielmann,Germany,76,5.3,Optometry
248,Ray Lee Hunt,United States,73,5.3,"Oil, Real Estate"
248,Bruce Kovner,United States,71,5.3,Hedge Funds
248,Law Kar Po,Hong Kong,67,5.3,Real Estate
248,Joe Lewis,United Kingdom,79,5.3,Investments
248,Quek Leng Chan,Malaysia,74,5.3,"Banking, Real Estate"
248,Johann Rupert,South Africa,65,5.3,Luxury Goods
248,Andrei Skoch,Russia,50,5.3,Steel
248,Jack Taylor,United States,93,5.3,Enterprise Rent-A-Car
258,Chan Laiwa,China,75,5.2,Real Estate
258,Anders Holch Povlsen,Denmark,43,5.2,Retail
258,Trevor Rees-Jones,United States,64,5.2,Oil & Gas
258,Christy Walton,United States,67,5.2,Wal-Mart
262,Vivien Chen,Hong Kong,57,5.1,Real Estate
262,Harold Hamm,United States,70,5.1,Oil & Gas
262,Diane Hendricks,United States,69,5.1,Roofing
262,Liu Yongxing,China,67,5.1,Agribusiness
262,Ian & Richard Livingstone,United Kingdom,n/a,5.1,Real Estate
262,Frank Lowy,Australia,85,5.1,Shopping Malls
262,Ludwig Merckle,Germany,51,5.1,Pharmaceuticals
262,Dan Olsson,Sweden,69,5.1,Diversified
270,Majid Al Futtaim,United Arab Emirates,n/a,5,"Real Estate, Retail"
270,Charles Dolan,United States,89,5,Cable Television
270,Israel Englander,United States,67,5,Hedge Funds
270,Goh Cheng Liang,Singapore,88,5,Paints
270,"John Gokongwei, Jr.",Philippines,88,5,Diversified
270,Guo Guangchang,China,49,5,Conglomerate
270,Tamara Gustavson,United States,54,5,Self Storage
270,Jerry Jones,United States,73,5,Dallas Cowboys
270,Karl-Heinz Kipp,Germany,92,5,Retail
270,Kwee family,Singapore,71,5,Pontiac Land Group
270,Willi & Isolde Liebherr,Switzerland,n/a,5,Construction
270,Lin Yu-lin,Taiwan,80,5,Real Estate
270,Arnon Milchan,Israel,71,5,Movie Making
270,Shashi & Ravi Ruia,India,n/a,5,Diversified
270,David Shaw,United States,64,5,Hedge Funds
270,Yang Huiyan,China,34,5,Real Estate
286,Abdulla bin Ahmad Al Ghurair,United Arab Emirates,n/a,4.9,Diversified
286,David & Frederick Barclay,United Kingdom,82,4.9,"Media, Retail"
286,Richard Branson,United Kingdom,65,4.9,Virgin
286,Jim Davis,United States,72,4.9,New Balance
286,Albert Frere,Belgium,90,4.9,Investments
286,Daniel Gilbert,United States,54,4.9,Quicken Loans
286,Akira Mori,Japan,79,4.9,Real Estate
286,Robert Rowling,United States,62,4.9,Investments
286,Alejandro Santo Domingo,United States,39,4.9,Beer
286,Andres Santo Domingo,United States,37,4.9,Beer
286,Bernard (Barry) Sherman,Canada,74,4.9,Pharmaceuticals
286,Chairul Tanjung,Indonesia,53,4.9,Diversified
298,Carl Cook,United States,53,4.8,Medical Devices
298,Michael & Marian Ilitch,United States,86,4.8,Pizza
298,Bidzina Ivanishvili,Georgia,60,4.8,Investments
298,Robert Kraft,United States,74,4.8,New England Patriots
298,Lu Zhiqiang,China,63,4.8,Conglomerate
298,Michael Stoschek,Germany,68,4.8,Autoparts
298,Sam Zell,United States,74,4.8,"Real Estate, Private Equity"
298,Daniel Ziff,United States,44,4.8,Investments
298,Dirk Ziff,United States,51,4.8,Investments
298,Robert Ziff,United States,49,4.8,Investments
308,Richard DeVos,United States,89,4.7,Amway
308,Gustaf Douglas,Sweden,77,4.7,Security
308,Arthur Irving,Canada,86,4.7,Oil
308,Jia Yueting,China,43,4.7,Online Video
308,"Paul Tudor Jones, II.",United States,61,4.7,Hedge Funds
308,Whitney MacMillan,United States,87,4.7,Cargill
308,Sun Guangxin,China,53,4.7,Diversified
308,Teh Hong Piow,Malaysia,85,4.7,Banking
308,Hans Peter Wild,Germany,74,4.7,Flavorings
317,Pyotr Aven,Russia,60,4.6,"Oil, Banking, Telecom"
317,Laurence Graff,United Kingdom,77,4.6,Diamond Jewelry
317,Charles Johnson,United States,83,4.6,Money Management
317,Lee Shin Cheng,Malaysia,76,4.6,"Palm Oil, Real Estate"
317,Richard Li,Hong Kong,49,4.6,Telecom
317,Bruno Schroder,United Kingdom,83,4.6,Banking
317,Mark Shoen,United States,64,4.6,U-Haul
324,Dona Bertarelli,Switzerland,48,4.5,Biotech
324,Leon Black,United States,64,4.5,Private Equity
324,Carlos and Alejandro Bulgheroni,Argentina,n/a,4.5,Oil And Gas
324,Clive Calder,United Kingdom,69,4.5,Record Label
324,Ann Walton Kroenke,United States,67,4.5,Wal-Mart
324,George Lucas,United States,71,4.5,Star Wars
324,Theo Mueller,Germany,76,4.5,Dairy
324,Jim Pattison,Canada,87,4.5,Diversified
324,Sergei Popov,Russia,44,4.5,Banking
324,Sumner Redstone,United States,92,4.5,Media
324,Maria-Elisabeth Schaeffler,Germany,74,4.5,Ball Bearings
324,David Sun,United States,64,4.5,Computer Hardware
324,Donald Trump,United States,69,4.5,"Television, Real Estate"
324,John Tu,United States,75,4.5,Computer Hardware
338,Brian Acton,United States,44,4.4,Whatsapp
338,Jeronimo Arango,Mexico,90,4.4,Retail
338,Pierre Bellon,France,86,4.4,Food Services
338,Stanley Druckenmiller,United States,62,4.4,Hedge Funds
338,David Duffield,United States,75,4.4,Business Software
338,Micky Jagtiani,India,64,4.4,Retail
338,Wolfgang Reimann,Germany,63,4.4,Consumer Goods
338,Matthias Reimann-Andersen,Germany,50,4.4,Consumer Goods
338,Stefan Reimann-Andersen,Germany,52,4.4,Consumer Goods
338,Renate Reimann-Haas,Germany,64,4.4,Consumer Goods
338,Emanuele (Lino) Saputo,Canada,79,4.4,Cheese
338,Tong Jinquan,China,61,4.4,Real Estate
338,Wang Chuanfu,China,50,4.4,"Batteries, Autos"
351,Bernard Broermann,Germany,72,4.3,Hospitals
351,Chung Mong-Koo,South Korea,77,4.3,Motor Vehicles
351,Joao Roberto Marinho,Brazil,62,4.3,Media
351,Jose Roberto Marinho,Brazil,60,4.3,Media
351,Roberto Irineu Marinho,Brazil,68,4.3,Media
351,Ricardo Salinas Pliego,Mexico,60,4.3,"Retail, Media"
351,Wei Jianjun,China,52,4.3,Automobiles
358,Ralph Dommermuth,Germany,52,4.2,Internet Service Provider
358,Jeffery Hildebrand,United States,56,4.2,Oil
358,Henry Kravis,United States,72,4.2,Private Equity
358,Sri Prakash Lohia,Indonesia,63,4.2,Polyester
358,Carrie Perrodo,France,65,4.2,Oil
358,Odd Reitan,Norway,64,4.2,"Retail, Real Estate"
358,Stewart and Lynda Resnick,United States,n/a,4.2,"Agriculture, Water"
358,Joseph Tsai,Canada,52,4.2,E-Commerce
358,Wang Wei,China,45,4.2,Package Delivery Service
358,Wee Cho Yaw,Singapore,87,4.2,Banking
358,M.A. Yusuff Ali,India,60,4.2,Retail
369,Americo Amorim,Portugal,81,4.1,"Energy, Investments"
369,Dannine Avara,United States,52,4.1,Pipelines
369,John Doerr,United States,64,4.1,Venture Capital
369,Scott Duncan,United States,33,4.1,Pipelines
369,Milane Frantz,United States,46,4.1,Pipelines
369,Gong Hongjia,Hong Kong,51,4.1,Investments
369,Liu Yonghao,China,64,4.1,Agribusiness
369,George Roberts,United States,72,4.1,Private Equity
369,Mark Scheinberg,Canada,42,4.1,Online Gambling
369,Reinhold Schmieding,United States,61,4.1,Medical Devices
369,Randa Williams,United States,54,4.1,Pipelines
380,Jin Sook & Do Won Chang,United States,53,4,Fashion Retail
380,James Dyson,United Kingdom,68,4,Vacuums
380,Han Chang-Woo,Japan,85,4,Pachinko Parlors
380,Bertil Hult,Sweden,75,4,Education
380,James Jannard,United States,66,4,Sunglasses
380,Vikram Lal,India,73,4,Motorcycles
380,Nancy Walton Laurie,United States,64,4,Wal-Mart
380,Iskander Makhmudov,Russia,52,4,"Mining, Metals, Machinery"
380,Terrence Pegula,United States,65,4,Natural Gas
380,Jerry Speyer,United States,75,4,Real Estate
380,Leonard Stern,United States,77,4,Real Estate
380,Lucio Tan,Philippines,81,4,Diversified
392,Shari Arison,Israel,58,3.9,Carnival Cruises
392,Leonid Fedun,Russia,59,3.9,Oil
392,Frits Goldschmeding,Netherlands,82,3.9,Temp Agency
392,Martha Ingram,United States,80,3.9,"Book Distribution, Transportation"
392,"Rupert Johnson, Jr.",United States,74,3.9,Money Management
392,Edwin Leong,Hong Kong,64,3.9,Real Estate
392,Mary Alice Dorrance Malone,United States,66,3.9,Campbell Soup
392,John Sall,United States,67,3.9,Software
392,Jeffrey Skoll,United States,51,3.9,Ebay
392,Sheldon Solow,United States,87,3.9,Real Estate
392,Zhou Jianping,China,55,3.9,Apparel
403,Heinz-Georg Baus,Germany,82,3.8,Home Improvement Stores
403,Denise Coates,United Kingdom,48,3.8,Online Gambling
403,Traudl Engelhorn,Germany,n/a,3.8,Pharmaceuticals/Medical Equipment
403,Ursula Engelhorn,Germany,n/a,3.8,Pharmaceuticals/Medical Equipment
403,Michael Herz,Germany,72,3.8,Coffee
403,Wolfgang Herz,Germany,65,3.8,Coffee
403,Randal Kirk,United States,62,3.8,Pharmaceuticals
403,Niels Peter Louis-Hansen,Denmark,68,3.8,Medical Devices
403,Fredrik Lundberg,Sweden,64,3.8,"Real Estate, Investments"
403,John Morris,United States,67,3.8,Sporting Goods Retail
403,"H. Ross Perot, Sr.",United States,85,3.8,"Computer Services, Real Estate"
403,Michael Pieper,Switzerland,70,3.8,Kitchen Appliances
403,Karen Pritzker,United States,58,3.8,"Hotels, Investments"
403,Viktor Rashnikov,Russia,67,3.8,Steel
403,Leandro Rizzuto,United States,77,3.8,Consumer Products
403,"Edward Roski, Jr.",United States,77,3.8,Real Estate
403,"Walter Scott, Jr.",United States,84,3.8,"Utilities, Telecom"
403,Zhang Jindong,China,52,3.8,Appliance Retailer
421,Rahel Blocher,Switzerland,40,3.7,Chemicals
421,Vanich Chaiyawan,Thailand,84,3.7,"Insurance, Beverages"
421,Juan Carlos Escotet,Venezuela,56,3.7,Banking
421,Phillip Frost,United States,79,3.7,Pharmaceuticals
421,Hui Wing Mau,Hong Kong,65,3.7,Real Estate
421,"Jeremy Jacobs, Sr.",United States,76,3.7,Sports Concessions
421,Nathan Kirsh,Eswatini,84,3.7,"Retail, Real Estate"
421,Kwon Hyuk-Bin,South Korea,42,3.7,Online Games
421,Magdalena Martullo-Blocher,Switzerland,47,3.7,Chemicals
421,Axel Oberwelland,Germany,49,3.7,Candy
421,Idan Ofer,Israel,60,3.7,"Drilling, Shipping"
421,Horst Paulmann,Chile,81,3.7,Retail
421,Nassef Sawiris,Egypt,55,3.7,"Construction, Chemicals"
421,George Ty,Philippines,83,3.7,Banking
435,Alexander Abramov,Russia,57,3.6,"Steel, Mining"
435,Martin & Olivier Bouygues,France,n/a,3.6,"Construction, Media"
435,Subhash Chandra,India,65,3.6,Media
435,Archie Aldis Emmerson,United States,86,3.6,"Timberland, Lumber Mills"
435,Andrei Guriev,Russia,55,3.6,Fertilizers
435,Elizabeth Holmes,United States,32,3.6,Blood Testing
435,Masatoshi Ito,Japan,91,3.6,Retail
435,Dominika & Sebastian Kulczyk,Poland,n/a,3.6,Diversified
435,Siegfried Meister,Germany,77,3.6,Appliances
435,Gwendolyn Sontheim Meyer,United States,54,3.6,Cargill
435,Anthony Pratt,Australia,55,3.6,Manufacturing
435,Steven Rales,United States,64,3.6,Manufacturing
435,Ira Rennert,United States,81,3.6,Investments
435,"Julian Robertson, Jr.",United States,84,3.6,Hedge Funds
435,Harry Stine,United States,74,3.6,Agriculture
435,Ronda Stryker,United States,61,3.6,Medical Equipment
435,Lottie Tham,Sweden,66,3.6,H&M
435,Frank Wang,China,35,3.6,Drones
453,Gautam Adani,India,53,3.5,"Commodities, Infrastructure"
453,Michael Ashley,United Kingdom,51,3.5,Sports Retailing
453,Benu Gopal Bangur,India,84,3.5,Cement
453,Peter Buck,United States,85,3.5,Subway Sandwich Shops
453,Rick Caruso,United States,57,3.5,Real Estate
453,Dan Friedkin,United States,51,3.5,Toyota Dealerships
453,Antti Herlin,Finland,59,3.5,"Elevators, Escalators"
453,Kieu Hoang,United States,71,3.5,Pharmaceuticals
453,Savitri Jindal,India,65,3.5,Steel
453,Ronald Lauder,United States,72,3.5,Estée Lauder
453,Liang Wengen,China,59,3.5,Construction Equipment
453,Masahiro Miki,Japan,60,3.5,Retail
453,Igor Olenicoff,United States,73,3.5,Real Estate
453,James Packer,Australia,48,3.5,Casinos
453,Pan Zhengmin,China,46,3.5,Electronics
453,Pankaj Patel,India,62,3.5,Pharmaceuticals
453,Isaac Perlmutter,United States,73,3.5,Marvel Comics
453,"Robert Rich, Jr.",United States,75,3.5,Frozen Foods
453,Haim Saban,United States,71,3.5,"TV Network, Investments"
453,Steven Spielberg,United States,69,3.5,Movies
453,Keiichiro Takahara,Japan,84,3.5,Diapers
453,Steven Udvar-Hazy,United States,70,3.5,Aircraft Leasing
453,Wang Wenxue,China,48,3.5,Real Estate
453,Zhang Shiping,China,68,3.5,Aluminum Products
477,Prince Sultan bin Mohammed bin Saud Al Kabeer,Saudi Arabia,62,3.4,Dairy Farms
477,Isak Andic,Spain,62,3.4,Clothing Retail
477,Neil Bluhm,United States,78,3.4,Real Estate
477,John Catsimatidis,United States,67,3.4,"Oil, Real Estate"
477,Giuseppe De'Longhi,Italy,76,3.4,Coffee Makers
477,Abilio dos Santos Diniz,Brazil,79,3.4,Retail
477,Pansy Ho,Hong Kong,53,3.4,Casinos
477,Michel Leclercq,France,76,3.4,Sporting Goods
477,Elisabeth Mohn,Germany,75,3.4,Media
477,Pang Kang,China,60,3.4,Soy Sauce Maker
477,Qiu Guanghe,China,64,3.4,Apparel Retail
477,Mitchell Rales,United States,59,3.4,"Manufacturing, Investments"
477,Paolo & Gianfelice Mario Rocca,Italy,n/a,3.4,Pipe Manufacturing
477,Lynn Schusterman,United States,77,3.4,"Oil & Gas, Investments"
