Rank,Name,Country,Age,NetWorth,Source of Wealth
1,Bill Gates,United States,60,75,Microsoft
2,Amancio Ortega,Spain,79,67,Zara
3,Warren Buffett,United States,85,60.8,Berkshire Hathaway
4,Carlos Slim Helu,Mexico,76,50,Telecom
5,Jeff Bezos,United States,52,45.2,Amazon.Com
6,Mark Zuckerberg,United States,31,44.6,Facebook
7,Larry Ellison,United States,71,43.6,Oracle
8,Michael Bloomberg,United States,74,40,Bloomberg LP
9,Charles Koch,United States,80,39.6,Diversified
9,David Koch,United States,75,39.6,Diversified
11,Liliane Bettencourt,France,93,36.1,L'Oréal
12,Larry Page,United States,42,35.2,Google
13,Sergey Brin,United States,42,34.4,Google
14,Bernard Arnault,France,66,34,LVMH
15,Jim Walton,United States,67,33.6,Wal-Mart
16,Alice Walton,United States,66,32.3,Wal-Mart
17,S. Robson Walton,United States,71,31.9,Wal-Mart
18,Wang Jianlin,China,61,28.7,Real Estate
19,Jorge Paulo Lemann,Brazil,76,27.8,Beer
20,Li Ka-shing,Hong Kong,87,27.1,Diversified
21,Beate Heister & Karl Albrecht Jr.,Germany,n/a,25.9,Supermarkets
22,Sheldon Adelson,United States,82,25.2,Casinos
23,George Soros,United States,85,24.9,Hedge Funds
24,Phil Knight,United States,78,24.4,Nike
25,David Thomson,Canada,58,23.8,Media
26,Steve Ballmer,United States,59,23.5,Microsoft
27,"Forrest Mars, Jr.",United States,84,23.4,Candy
27,Jacqueline Mars,United States,76,23.4,Candy
27,John Mars,United States,79,23.4,Candy
30,Maria Franca Fissolo,Italy,98,22.1,"Nutella, Chocolates"
31,Lee Shau Kee,Hong Kong,88,21.5,Real Estate
32,Stefan Persson,Sweden,68,20.8,H&M
33,Jack Ma,China,51,20.5,Alibaba
34,"Theo Albrecht, Jr.",Germany,65,20.3,"Aldi, Trader Joe's"
35,Michael Dell,United States,51,19.8,Dell
36,Mukesh Ambani,India,58,19.3,"Petrochemicals, Oil & Gas"
37,Leonardo Del Vecchio,Italy,80,18.7,Eyeglasses
38,Susanne Klatten,Germany,53,18.5,"BMW, Pharmaceuticals"
39,Georg Schaeffler,Germany,51,18.1,Automotive
40,Paul Allen,United States,63,17.5,"Microsoft, Investments"
41,Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,60,17.3,Investments
42,Joseph Safra,Brazil,77,17.2,Banking
43,Carl Icahn,United States,80,17,Investments
44,Laurene Powell Jobs,United States,52,16.7,"Apple, Disney"
44,Dilip Shanghvi,India,60,16.7,Pharmaceuticals
46,Ma Huateng,China,44,16.6,Internet Services
47,Dieter Schwarz,Germany,76,16.4,Retail
48,Ray Dalio,United States,66,15.6,Hedge Funds
48,Stefan Quandt,Germany,49,15.6,BMW
50,James Simons,United States,77,15.5,Hedge Funds
51,Aliko Dangote,Nigeria,58,15.4,"Cement, Sugar, Flour"
